A1 Item,External ID,Calculated value,VSS Path,Notes
Speed of Vehicle,1,FALSE,Vehicle.Speed,
Acceleration of Vehicle,2,FALSE,Vehicle.Acceleration,
Odometer Value,3,FALSE,Vehicle.TravelledDistance,
Diagnostic Trouble Codes,4,FALSE,Vehicle.OBD.DTCList,
Vehicle high voltage Battery State of Charge,5,FALSE,Vehicle.Powertrain.Battery.Battery.StateOfCharge,
GPS Position and Time at Current Value,6,FALSE,Vehicle.Cabin.Children.Infotainment.Navigation.CurrentLocation,
Service Indicator,7,FALSE,Vehicle.Service.ServiceDue,
Distance to next Service,8,FALSE,Vehicle.Service.DistanceToService,
Time to next Service,9,FALSE,Vehicle.Service.TimeToService,
Remaining Electric Range/Distance,10,FALSE,Vehicle.Powertrain.Battery.Range,Remaining range in meters using only battery.
Fuel Tank Level,11,FALSE,Vehicle.Powertrain.Fuelsystem.Level,
Total Remaining Range,12,FALSE,Vehicle.Powertrain.Range,Remaining range in meters using all energy sources available in the vehicle.
Brake Pad Low Warning,13,TRUE,Vehicle.Chassis.Axis.Wheel.Brake.PadWear/BrakesWorn,
High voltage Battery Charging Status,14,TRUE,Vehicle.Powertrain.Charging.*,
Low Oil Indicator,15,FALSE,Vehicle.Powertrain.CombustionEngine.EngineOilLevel,"State: ""low"" or ""critically low""."
Buckles Status,16,FALSE,Vehicle.Cabin.Seat.isBelted,
Diesel Additive Range,17,FALSE,Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Range,
Diesel Additive Status (Low Indicator),18,FALSE,Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.IsLevelLow,
Power Steering Warning Lamp,19,FALSE,,
Door Lock Status,20,FALSE,Vehicle.Cabin.Door.isLocked,
Airbag Warning Lamp,21,FALSE,,
Coolant Temperature High Warning,22,FALSE,,
Malfunction Indicator Status,23,FALSE,Vehicle.OBD.Status.MIL,
Standby/Quiescent Current Status,24,FALSE,,
Distance until Engine Oil Service,25,FALSE,,
Brake Fluid Level Low Warning,26,FALSE,Vehicle.Chassis.Axis.Wheel.Brake.FluidLevelLow,
Full look Status,27,FALSE,,
Remaining Brake Fluid Life,28,FALSE,,
Distance until Brakes Service,29,FALSE,,
Due Date for Brake Fluid Change,30,FALSE,,
Oil Pressure Warning Lamp,31,FALSE,,
Time until next Required Oil Change,32,FALSE,,
Tyre pressure Warning,33,FALSE,Vehicle.Chassis.Axis.Wheel.Tire.PressureLow,
Oil Temperature High Warning,34,FALSE,,
Windshield Wiper Fluid Level,35,FALSE,Vehicle.Body.Windhield.Front.WasherFluid.Level,
Window Status,36,TRUE,"Vehicle.Cabin.Door.Window.Position, Vehicle.Cabin.Door.Window.isClosed",
Sunroof Status,37,FALSE,Vehicle.Cabin.Sunroof.Position,
Door Status,38,TRUE,"Vehicle.Cabin.Door.isOpen, Vehicle.Cabin.Door.isLocked",
Trunk Status,39,TRUE,"Vehicle.Body.Trunk.isOpen, Vehicle.Body.Trunk.isLocked",
Battery Lamp Status,40,FALSE,,
Convertible Roof Status,41,FALSE,Vehicle.Cabin.Convertible.Status,
Tilting Status of Sunroof,42,FALSE,Vehicle.Cabin.Sunroof.Position,
